# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "play_data_ref_annot/chr19_20Mb.gtf" "-o" "data_output_featureCount/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001.txt" "data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	data_output_star_mapped/KAPA_mRNA_HyperPrep_-UHRR-KAPA-100_ng_total_RNA-3_S8_L001_Aligned.sortedByCoord.out.bam
ENSG00000185761.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1505017;1505023;1505040;1505814;1505866;1505866;1505866;1505930;1506589;1506589;1506589;1506589;1506589;1506634;1506738;1506738;1506738;1506738;1506738;1506738;1506738;1506738;1507241;1507241;1507241;1507241;1507241;1507241;1507241;1507241;1507291;1507544;1507556;1507556;1507556;1507556;1507556;1507556;1507556;1507997;1507997;1507997;1507997;1507997;1507997;1507997;1507997;1508442;1508442;1508442;1508442;1508442;1508442;1508442;1508442;1510149;1510149;1510149;1510149;1510149;1510149;1510149;1510149;1510149;1510149;1510367;1510367;1510367;1510367;1510367;1510367;1510367;1510367;1510367;1510638;1510638;1510638;1510638;1510638;1510638;1510638;1510638;1510638;1510844;1510844;1510844;1510844;1510844;1510844;1510844;1510844;1510844;1511035;1511075;1511624;1511624;1511624;1511624;1512962;1512962;1512962;1512962;1513468	1506315;1506315;1505199;1506315;1506307;1506315;1506307;1506315;1506660;1506660;1506660;1506660;1506660;1506927;1506927;1506927;1506927;1506927;1506927;1506770;1506927;1506927;1507404;1507421;1507404;1507404;1507404;1507404;1507404;1507404;1507404;1507595;1507642;1507642;1507642;1507642;1507642;1507642;1507642;1508108;1508108;1508108;1508108;1508108;1508108;1508108;1508108;1508569;1508907;1508569;1508569;1508569;1508569;1508569;1508569;1510257;1510257;1510257;1510221;1510257;1510257;1510257;1510257;1510257;1510257;1510427;1510427;1510427;1510427;1510427;1510427;1510427;1510427;1510427;1510729;1510729;1510729;1510729;1510732;1510732;1510732;1510729;1510729;1510916;1510916;1510916;1510916;1510951;1510916;1510916;1511159;1510916;1511135;1511135;1511726;1511726;1511771;1511679;1513556;1513018;1513018;1513188;1513603	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3867	97
ENSG00000267092.1	chr19;chr19	1508381;1508893	1508760;1508962	+;+	450	6
ENSG00000185988.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1524073;1524958;1525304;1525594;1525594;1526485;1526485;1526703;1526703;1526902;1526902;1527933;1527935;1527935;1528301;1528301;1528301;1528336;1528897;1528897;1528897;1528897;1529405;1529405;1529405;1529746;1529746;1529746;1531737;1531737;1531737;1533930;1533930;1535064;1535064;1535064	1524245;1525417;1525417;1525710;1525710;1526614;1526614;1526790;1526790;1526997;1526997;1528133;1528133;1528133;1528427;1528427;1528427;1528427;1529047;1528973;1528973;1528973;1529489;1529489;1529489;1529823;1529823;1529823;1531882;1531882;1531882;1534040;1534040;1535249;1535455;1535455	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2355	7
ENSG00000266399.1	chr19	1553980	1554031	-	52	1
ENSG00000181588.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1554668;1554669;1554672;1555576;1555576;1567463;1567463;1567463	1556922;1555388;1555388;1556922;1556922;1567529;1568057;1568057	-;-;-;-;-;-;-;-	2850	376
ENSG00000222720.1	chr19	1556604	1556685	+	82	39
ENSG00000239367.2	chr19	1570574	1570859	-	286	0
ENSG00000267161.1	chr19	1573595	1575474	-	1880	77
ENSG00000071655.13	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1576639;1576671;1576677;1576678;1578011;1578334;1578334;1578334;1578444;1581091;1581091;1581091;1581091;1581091;1581091;1581107;1581158;1582324;1582597;1582621;1582621;1582621;1582621;1582621;1582621;1582621;1583252;1584539;1584539;1584539;1584539;1584539;1584539;1584539;1584539;1584539;1585054;1585054;1585054;1585054;1585054;1585054;1585056;1585904;1591984;1592276;1592521;1592521;1592617	1578537;1578157;1578157;1578537;1578157;1578537;1578537;1578537;1578537;1581729;1581268;1581268;1581268;1581268;1581268;1581268;1581268;1582711;1582711;1582711;1582711;1582711;1582711;1582711;1582711;1582711;1583379;1584676;1584930;1584676;1584572;1584676;1584953;1584676;1584676;1584676;1585213;1585213;1585213;1585213;1585213;1585529;1585213;1586361;1592391;1592358;1592652;1592760;1592882	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5173	1024
ENSG00000267059.2	chr19;chr19;chr19;chr19;chr19;chr19;chr19	1578338;1581091;1582621;1584539;1585054;1599411;1605359	1578537;1581268;1582711;1584676;1585213;1599559;1605444	-;-;-;-;-;-;-	1002	1018
ENSG00000266926.1	chr19	1581789	1582322	-	534	5
ENSG00000127540.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1597171;1598048;1598048;1598048;1598920;1599411;1599411;1599411;1599411;1602036;1602293;1605359;1605359;1605359;1605359	1598214;1598214;1598214;1598325;1599559;1599559;1599559;1599559;1599559;1602128;1602425;1605471;1605442;1605435;1605480	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2143	693
ENSG00000071564.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1609291;1609293;1609293;1609471;1609549;1610190;1610966;1611056;1611248;1611248;1611509;1611703;1611703;1611703;1611703;1611703;1611703;1611754;1611805;1612206;1612206;1612206;1612206;1612206;1612206;1612206;1615284;1615284;1615284;1615284;1615284;1615284;1615284;1615284;1615685;1615685;1615685;1615685;1615685;1615685;1615685;1615685;1615685;1615685;1615685;1615685;1615790;1615791;1619109;1619110;1619110;1619110;1619110;1619110;1619110;1619110;1619110;1619110;1619110;1619315;1619315;1619315;1619315;1619315;1619315;1619779;1619779;1619779;1619779;1619779;1619779;1619779;1620967;1620967;1620967;1620967;1620967;1620967;1620967;1621132;1621132;1621132;1621132;1621132;1621837;1621837;1621837;1621837;1621837;1622053;1622053;1622053;1622053;1622053;1622312;1622312;1622312;1622312;1622312;1623947;1623950;1623950;1623950;1623950;1623950;1625575;1625575;1625575;1625575;1625575;1625575;1627358;1627358;1627358;1627358;1627358;1627358;1631946;1631950;1632037;1632037;1632037;1632050;1632331;1632331;1632331;1632331;1632331;1646354;1646354;1646354;1646354;1646354;1646354;1650176;1650176;1650176;1650176;1650176;1650176;1651049;1652299;1652299;1652299	1609598;1611848;1611848;1609598;1610499;1610499;1611368;1611848;1611368;1611848;1611848;1611848;1611848;1611848;1611848;1611848;1611848;1611848;1611848;1612432;1612432;1612429;1612432;1612429;1612432;1612432;1615484;1615514;1615820;1615519;1615519;1615519;1615519;1615484;1615820;1615797;1615797;1615820;1615820;1615740;1615820;1615820;1615820;1615797;1615820;1615797;1615820;1615820;1619233;1619233;1619473;1619149;1619233;1619233;1619134;1619208;1619233;1619233;1619233;1619470;1619473;1619473;1619473;1619473;1619473;1619852;1619854;1619852;1619852;1619852;1619852;1619852;1621046;1620994;1621045;1621045;1621045;1621045;1621045;1621190;1621190;1621190;1621190;1621190;1621969;1621969;1621969;1621969;1621969;1622222;1622222;1622222;1622222;1622222;1622414;1622414;1622414;1622414;1622414;1623999;1623999;1623999;1623999;1623999;1623999;1625707;1625707;1625707;1625707;1625707;1625707;1627425;1627425;1627425;1627420;1627425;1627425;1632040;1632115;1632115;1632115;1632115;1632115;1632404;1632404;1632404;1632404;1632404;1646426;1646426;1646426;1646426;1646426;1646426;1650286;1650286;1650744;1650275;1650286;1650286;1651355;1652590;1652326;1652604	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6061	1959
ENSG00000252933.1	chr19	1616491	1616594	-	104	3
ENSG00000267073.1	chr19;chr19;chr19;chr19	1748055;1748159;1748512;1748512	1748097;1748340;1748744;1748740	+;+;+;+	458	2
ENSG00000205922.4	chr19;chr19	1752372;1775152	1754853;1780987	+;+	8318	2
ENSG00000130270.12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1782074;1782076;1782076;1783027;1784818;1784818;1784818;1784818;1785158;1785158;1785158;1785158;1785468;1785468;1785468;1785468;1785557;1787102;1787102;1787102;1787102;1787102;1788896;1788896;1788896;1788896;1788896;1789360;1789360;1789360;1789360;1789360;1789889;1789889;1789889;1789889;1790756;1790756;1790756;1790756;1790756;1791749;1791749;1791749;1791749;1791970;1791970;1791970;1792000;1795874;1795874;1795874;1795874;1796076;1796076;1796076;1796076;1796710;1796710;1796710;1796710;1796973;1796973;1796973;1796973;1798763;1798779;1799946;1799946;1799946;1799946;1800258;1800258;1800258;1800258;1800258;1800258;1801955;1801955;1801955;1801955;1801955;1801955;1802486;1802486;1802486;1802486;1802486;1802486;1805189;1805373;1805373;1805373;1805373;1805373;1805373;1805373;1805887;1805887;1805887;1805887;1805887;1805887;1805887;1806096;1806096;1806096;1806096;1806096;1806096;1806627;1806627;1806627;1806627;1806627;1806627;1807167;1807167;1807167;1807167;1807167;1807167;1807167;1808221;1808221;1808221;1808221;1808221;1808221;1808221;1809642;1809642;1809642;1809642;1809642;1809642;1809642;1810621;1810621;1810621;1810621;1810621;1810621;1810621;1811488;1811488;1811488;1811488;1811488;1811488;1811600;1812067;1812067;1812185;1812185;1812185;1812185	1783269;1783269;1783269;1783269;1784945;1784945;1784945;1784945;1785296;1785296;1785296;1785296;1785707;1785707;1785707;1785707;1785707;1787185;1787185;1787185;1787185;1787185;1789119;1789119;1789119;1789119;1789119;1789726;1789726;1789726;1789613;1789726;1789988;1789988;1789988;1789988;1790816;1790831;1790831;1790831;1790831;1791860;1791860;1791860;1791860;1792134;1792134;1792134;1792134;1795986;1795986;1795986;1795986;1796264;1796264;1796264;1796264;1796878;1796878;1796878;1796878;1797004;1797004;1797004;1797004;1800154;1800154;1800154;1800154;1800154;1800154;1800448;1800448;1800448;1800448;1800448;1800448;1802043;1802043;1802061;1802043;1802043;1802043;1802644;1802644;1802644;1802644;1802644;1802644;1805278;1805455;1805455;1805455;1805455;1805455;1805455;1805455;1805957;1805957;1806159;1805957;1805957;1805957;1805957;1806168;1806168;1806168;1806168;1806507;1806168;1806688;1806688;1806688;1806688;1806688;1806688;1807265;1807265;1807265;1807265;1807265;1807265;1807265;1808334;1808334;1808334;1808334;1808334;1808334;1808334;1809733;1809733;1809733;1809733;1809733;1809733;1809733;1810682;1810682;1810682;1810682;1810682;1810682;1810682;1811883;1811623;1811665;1811665;1811883;1811883;1811883;1812236;1812199;1812275;1812270;1812275;1812275	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7011	134
ENSG00000267007.1	chr19;chr19	1815248;1815764	1815585;1815872	+;+	447	56
ENSG00000079313.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1815248;1816038;1816093;1816224;1816224;1816428;1816430;1816697;1816697;1816697;1817178;1817218;1817218;1817706;1817706;1817706;1818481;1818481;1818481;1818557;1818705;1818705;1818705;1818705;1819017;1819017;1819017;1819933;1819933;1819933;1820263;1820263;1821518;1821518;1823571;1825838;1826877;1827647;1830705;1848201;1848201	1816153;1816153;1816568;1816386;1816344;1816568;1816568;1816812;1816764;1816812;1817328;1817457;1817328;1817779;1817779;1817779;1818594;1818594;1818594;1818594;1818842;1818734;1818842;1818842;1819130;1819130;1819130;1820179;1819962;1820056;1820394;1820394;1821566;1821681;1823784;1825942;1828630;1828630;1830865;1848445;1848452	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5186	560
ENSG00000223244.1	chr19	1816158	1816237	-	80	25
ENSG00000267244.1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1822088;1822145;1822560;1823014;1823199;1823622;1823622;1824108;1824217	1823256;1824544;1822691;1823153;1823256;1823715;1823715;1824542;1824541	+;+;+;+;+;+;+;+;+	2457	44
ENSG00000267125.1	chr19;chr19	1852398;1853191	1852449;1853621	+;+	483	66
ENSG00000129911.4	chr19;chr19;chr19;chr19;chr19;chr19;chr19	1852399;1852400;1854280;1854317;1862793;1863040;1863040	1852594;1854759;1854759;1854759;1862857;1863496;1863567	-;-;-;-;-;-;-	2954	275
ENSG00000267141.1	chr19;chr19;chr19	1860249;1861473;1861768	1860443;1861633;1862018	+;+;+	607	4
ENSG00000261526.1	chr19	1874881	1876168	-	1288	35
ENSG00000267232.1	chr19;chr19	1875015;1875605	1875208;1875991	+;+	581	28
ENSG00000129968.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1876809;1876975;1876976;1876976;1876978;1877203;1877507;1877507;1877507;1877507;1877507;1877507;1878663;1878663;1879920;1879920;1879920;1879920;1880895;1881234;1881234;1881234;1881234;1881234;1885351;1885351	1877424;1877424;1877424;1877424;1877424;1877424;1877686;1877686;1877646;1877686;1880114;1877686;1878903;1880114;1880016;1880060;1880114;1880114;1881047;1881584;1883799;1883799;1881803;1881803;1885432;1885546	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6139	486
ENSG00000227500.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1905213;1905371;1905377;1905390;1905398;1905399;1905403;1908263;1908280;1913089;1914978;1914978;1914978;1914978;1914978;1914978;1914978;1915431;1917693;1917693;1917693;1917693;1917693;1917693;1917693;1917693;1917693;1918126;1918126;1918126;1918126;1918126;1918126;1918126;1918126;1918643;1918888;1918888;1918888;1918888;1918888;1918888;1920647;1921740;1922132;1923069;1923069;1923069;1924107;1924107;1924107;1924107	1905438;1905438;1905438;1905438;1905438;1907183;1905438;1908634;1908634;1913446;1915025;1915025;1915025;1915025;1915025;1915025;1915025;1915543;1917821;1917821;1917821;1917821;1917821;1917821;1917821;1917821;1917821;1918282;1918188;1918282;1918282;1918282;1918282;1918282;1918282;1918658;1918964;1918989;1918960;1919203;1918989;1918989;1920742;1922155;1923186;1923186;1923186;1923186;1926005;1926011;1924147;1926016	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6933	724
ENSG00000213638.4	chr19;chr19;chr19;chr19;chr19;chr19	1905377;1905417;1908018;1911889;1911889;1911889	1905438;1905438;1908634;1913444;1913444;1912254	+;+;+;+;+;+	2235	41
ENSG00000198683.2	chr19;chr19	1925185;1925912	1925910;1926009	+;+	824	327
ENSG00000133275.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1941188;1941203;1942464;1949543;1954632;1959237;1968790;1969507;1969507;1969507;1969825;1974687;1978304;1978304;1978304;1978441;1978452;1978452;1978474;1978601;1978601;1978601;1978858;1978858;1978858;1978858;1978858;1979162;1979162;1979162;1979258;1979318;1979318;1979318;1979318;1979318;1979375;1979494;1979494;1979494;1979494;1979751;1979751;1979751;1979910;1979910;1980148	1941417;1941417;1942612;1950025;1954714;1959302;1968904;1969958;1969958;1969958;1969958;1974751;1978510;1978347;1978344;1978510;1978749;1978749;1978510;1978749;1978749;1978749;1979247;1979092;1979092;1979092;1979092;1979247;1979247;1979247;1979402;1979402;1979401;1979402;1979402;1979402;1979402;1979617;1979642;1979642;1979642;1979834;1979946;1979834;1980016;1980016;1981337	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4229	868
ENSG00000180846.4	chr19;chr19;chr19;chr19;chr19;chr19;chr19	1952530;1952588;1953385;1953385;1953842;1953842;1954255	1953010;1953010;1953505;1953505;1954585;1954197;1954548	-;-;-;-;-;-;-	1346	2
ENSG00000133243.4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	1985447;1985447;1985447;1986829;1986829;1986829;1987165;1987165;1987165;1987499;1987499;1990003;1990003;1990716;1990716;1993019;1997343;2015296	1986648;1986648;1986648;1986975;1986975;1986975;1987252;1987252;1988568;1987691;1987691;1990200;1990200;1990821;1991298;1993175;1997462;2015719	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4235	1044
